"","STOP_FRISK_DOM","STOP_FRISK_TIME_MINUTES","MONTH2","DAY2","STOP_WAS_INITIATED","ISSUING_OFFICER_RANK","SUPERVISING_OFFICER_RANK","JURISDICTION_DESCRIPTION","OBSERVED_DURATION_MINUTES","SUSPECTED_CRIME_DESCRIPTION","STOP_DURATION_MINUTES","OFFICER_EXPLAINED_STOP_FLAG","OTHER_PERSON_STOPPED_FLAG","OFFICER_IN_UNIFORM_FLAG","ID_CARD_IDENTIFIES_OFFICER_FLAG","SHIELD_IDENTIFIES_OFFICER_FLAG","VERBAL_IDENTIFIES_OFFICER_FLAG","FRISKED_FLAG","SEARCHED_FLAG","OTHER_CONTRABAND_FLAG","FIREARM_FLAG","KNIFE_CUTTER_FLAG","OTHER_WEAPON_FLAG","WEAPON_FOUND_FLAG","PHYSICAL_FORCE_CEW_FLAG","PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG","PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG","PHYSICAL_FORCE_OC_SPRAY_USED_FLAG","PHYSICAL_FORCE_OTHER_FLAG","PHYSICAL_FORCE_RESTRAINT_USED_FLAG","PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG","PHYSICAL_FORCE_WEAPON_IMPACT_FLAG","BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG","BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG","SUSPECTS_ACTIONS_CASING_FLAG","SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG","SUSPECTS_ACTIONS_DECRIPTION_FLAG","SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG","SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG","SUSPECTS_ACTIONS_LOOKOUT_FLAG","SUSPECTS_ACTIONS_OTHER_FLAG","SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG","SEARCH_BASIS_ADMISSION_FLAG","SEARCH_BASIS_CONSENT_FLAG","SEARCH_BASIS_HARD_OBJECT_FLAG","SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG","SEARCH_BASIS_OTHER_FLAG","SEARCH_BASIS_OUTLINE_FLAG","DEMEANOR_OF_PERSON_STOPPED","SUSPECT_REPORTED_AGE","SUSPECT_SEX","SUSPECT_RACE_DESCRIPTION","SUSPECT_HEIGHT","SUSPECT_WEIGHT","SUSPECT_BODY_BUILD_TYPE","SUSPECT_EYE_COLOR","SUSPECT_HAIR_COLOR","STOP_LOCATION_PRECINCT","SUSPECT_ARRESTED_FLAG"
"1",16,866,"January","Monday","Based_on_Self_Initiated","SGT","SGT","PSB",10,"TERRORISM",90,"Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","TERRORISM",39,"MALE","BLACK",5.8,130,"THN","BRO","BLK",1,"N"
"2",16,866,"January","Monday","Based_on_Self_Initiated","SGT","SGT","PSB",10,"TERRORISM",90,"Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","TERRORISM",37,"MALE","BLACK",5.8,140,"MED","BRO","BLK",1,"N"
"3",8,670,"February","Wednesday","Based_on_C_W_on_Scene","POM","SGT","Transit",1,"OTHER",40,"Y","N","N","I","S","V","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","OTHER",17,"FEMALE","WHITE",6.2,180,"THN","BRO","BRO",1,"N"
"4",20,695,"February","Monday","Based_on_Self_Initiated","POM","SGT","PSB",2,"GRAND_LARCENY_AUTO",40,"Y","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","N","N","GRAND LARCENY AUTO",31,"MALE","BLACK_HISPANIC",5.1,190,"U","BLU","BLD",1,"N"
"5",21,800,"February","Tuesday","Based_on_Radio_Run","POM","SGT","PSB",1,"BURGLARY",60,"Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","BURGLARY",17,"FEMALE","BLACK",5,100,"THN","BLK","BLK",1,"N"
"6",17,1285,"February","Friday","Based_on_C_W_on_Scene","POM","LT","PSB",2,"CPW",10,"Y","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","CPW",39,"MALE","WHITE_HISPANIC",5.11,180,"MED","BRO","BRO",1,"Y"
"7",25,1200,"February","Saturday","Based_on_Radio_Run","POM","SGT","Transit",1958,"CPW",3,"Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","CPW",19,"FEMALE","BLACK",5.5,115,"THN","BLK","BLK",1,"N"
"8",25,1198,"February","Saturday","Based_on_Radio_Run","POM","SGT","Transit",1,"CPW",3,"Y","Y","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","Y","N","Y","N","N","Y","Y","N","N","N","N","Y","N","N","N","N","Y","N","NORMAL",15,"FEMALE","BLACK",5.4,110,"THN","BRO","BRO",1,"N"
"9",21,795,"February","Tuesday","Based_on_Radio_Run","POM","SGT","PSB",1,"BURGLARY",20,"Y","Y","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","Y","N","Y","N","N","N","N","PLEASANT",43,"MALE","BLACK",6.2,250,"HEA","BLK","BLD",1,"N"
"10",3,496,"March","Friday","Based_on_C_W_on_Scene","POM","SGT","PSB",0,"CRIMINAL_MISCHIEF",3,"Y","N","Y","N","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","NERVOUS",33,"MALE","BLACK",5.7,155,"THN","BRO","BLK",1,"Y"
